id,addressLine1,addressLine2,addressLine3,addressLine4,pincode,city,state,country,mobileNumber,toDealer_id,toRetailer_id
e5de8b10-89e8-48ea-8b94-f74dced4e47h,123 Main St,Apt 4B,,,12345,New York,NY,USA,1234567890,b4de8b09-89e8-48ea-8b93-f74dced4e46g,
g6ef8b11-89e8-48ea-8b95-f74dced4e49j,456 Elm St,Apt 2C,,,67890,Los Angeles,CA,USA,0987654321,,c5ef8b10-89e8-48ea-8b94-f74dced4e48i
h7ef8b12-89e8-48ea-8b96-f74dced4e50k,789 Oak St,Apt 5D,,,10112,Chicago,IL,USA,2233445566,d5ef8b11-89e8-48ea-8b95-f74dced4e49i,
i8ef8b13-89e8-48ea-8b97-f74dced4e51l,101 Pine St,Apt 1E,,,20223,Houston,TX,USA,3344556677,,d6ef8b11-89e8-48ea-8b95-f74dced4e49j
j9ef8b14-89e8-48ea-8b98-f74dced4e52m,202 Birch St,Apt 3F,,,30334,Phoenix,AZ,USA,4455667788,e6fe8b13-89e8-48ea-8b97-f74dced4e51k,
k0ef8b15-89e8-48ea-8b99-f74dced4e53n,303 Cedar St,Apt 6G,,,40445,San Francisco,CA,USA,5566778899,,e7ef8b12-89e8-48ea-8b96-f74dced4e50k
l1gf8b16-89e8-48ea-8b99-f74dced4e54o,404 Walnut St,Apt 7H,,,50556,San Diego,CA,USA,6677889900,f7gf8b15-89e8-48ea-8b99-f74dced4e53m,
m2hf8b17-89e8-48ea-8b99-f74dced4e55p,505 Maple St,Apt 8I,,,60667,Dallas,TX,USA,7788990011,,f8ef8b13-89e8-48ea-8b97-f74dced4e51l
n3if8b18-89e8-48ea-8b99-f74dced4e56q,606 Poplar St,Apt 9J,,,70778,Austin,TX,USA,8899001122,g8hf8b17-89e8-48ea-8b99-f74dced4e55o,
o4jf8b19-89e8-48ea-8b99-f74dced4e57r,707 Fir St,Apt 10K,,,80889,San Antonio,TX,USA,9900112233,,g9ef8b14-89e8-48ea-8b98-f74dced4e52m
